"F1: 0.37500","Precision: 0.37500","Recall: 0.37500"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","13","Klingon captain of the IKS Pagh in 2365. He was short, heavyset, and demanded strict adherence to his authority. When he learned of the space organism eating away at a small section of the Pagh's hull, and that the Enterprise-D had directed an intense scanning beam at that specific area for two minutes, Kargan believed the Federation starship had landed a first strike against his vessel, so he vowed to attack and destroy the Enterprise-D. He suspected that Commander William Riker, his acting first officer, was complicit in the Enterprise-D's attack, so, to test his loyalty, Kargan demanded to know the surest method of attack against the Federation starship. When Riker refused to break his oath to Starfleet, Kargan relented, knowing at least that Riker wasn't a traitor or a coward. When Riker activated an emergency transponder given to him by Worf, Kargan, believing it was a weapon, demanded that Riker give it to him. Kargan was then beamed aboard the Enterprise-D, and Riker was able to assume command of the Pagh and defuse the brewing battle. Later, when Kargan was returned to the Pagh, Riker refused to resume his station, so Kargan slugged him and ordered him removed from the ship. That action allowed Kargan to save face and regain honor in the eyes of his officers, and likely averted an assassination attempt by Lieutenant Klag.","http://dbpedia.org/resource/Professional_wrestling_attacks","http://dbpedia.org/resource/Clingon http://dbpedia.org/resource/TlhIngan http://dbpedia.org/resource/ChonnaQ http://dbpedia.org/resource/Qo'nos http://dbpedia.org/resource/Klingon_Empire http://dbpedia.org/resource/Krelk http://dbpedia.org/resource/Kligon http://dbpedia.org/resource/Klingon_empire http://dbpedia.org/resource/Klinon http://dbpedia.org/resource/Klingon http://dbpedia.org/resource/Klingon_homeworld http://dbpedia.org/resource/Qo'noS_(Star_Trek) http://dbpedia.org/resource/Qo'noS http://dbpedia.org/resource/MoQ'bara http://dbpedia.org/resource/Star_Trek/Klingon http://dbpedia.org/resource/Kelicam http://dbpedia.org/resource/QonoS http://dbpedia.org/resource/Klingons http://dbpedia.org/resource/Klinzhai"
"0","19","Romulan officer who, in 2371, was part of a delegation to Starbase Deep Space 9 to study Starfleet Intelligence reports on the Dominion. The Romulans regarded the Dominion as the greatest threat to the Alpha Quadrant, and intended to destroy Deep Space 9 before collapsing the Bajoran Wormhole to prevent any Dominion incursion from the Gamma Quadrant.","http://dbpedia.org/resource/September_11_attacks","http://dbpedia.org/resource/Romulan_starship http://dbpedia.org/resource/Romulan_starships http://dbpedia.org/resource/Romulan_Home_Worlds http://dbpedia.org/resource/Valdore_class_starship http://dbpedia.org/resource/Romulans http://dbpedia.org/resource/D'deridex-class_warbird http://dbpedia.org/resource/Romulan_War http://dbpedia.org/resource/Romulan_Warbird http://dbpedia.org/resource/Debrune http://dbpedia.org/resource/D'deridex_class_starship http://dbpedia.org/resource/Star_Trek/Romulan http://dbpedia.org/resource/Romulus_(Star_Trek) http://dbpedia.org/resource/Romulan_(Star_Trek) http://dbpedia.org/resource/D'deridex http://dbpedia.org/resource/Bird-of-Prey_class_starship http://dbpedia.org/resource/D7_class_starship http://dbpedia.org/resource/Romulans_(Star_Trek) http://dbpedia.org/resource/Earth-Romulan_War http://dbpedia.org/resource/Romulan_Star_Empire_(Star_Fleet_Universe) http://dbpedia.org/resource/Romulus_and_Remus_(Star_Trek) http://dbpedia.org/resource/Romulan_shuttle http://dbpedia.org/resource/Romulan http://dbpedia.org/resource/Romulan_ale http://dbpedia.org/resource/Remus_(Star_Trek) http://dbpedia.org/resource/D'deridex_class_warbird http://dbpedia.org/resource/Tal_Shiar http://dbpedia.org/resource/B-type_warbird http://dbpedia.org/resource/Romulan_Empire http://dbpedia.org/resource/Norexan-class_warbird http://dbpedia.org/resource/Romulan_Star_Empire"
"0","27","Worf's mate and Alexander Rozhenko's mother. Killed by Duras.","http://dbpedia.org/resource/Burr–Hamilton_duel","http://dbpedia.org/resource/Lt._Worf http://dbpedia.org/resource/Worf http://dbpedia.org/resource/Lieutenant_Worf http://dbpedia.org/resource/Worf_Rozhenko http://dbpedia.org/resource/Commander_Worf http://dbpedia.org/resource/Wo'rlv http://dbpedia.org/resource/Worf_(Star_Trek) http://dbpedia.org/resource/Lieutenant_Commander_Worf http://dbpedia.org/resource/Star_Trek/Worf"
"0","37","Xindi Primate, slave in a Trellium-D mine","http://dbpedia.org/resource/Colonial_Brazil","http://dbpedia.org/resource/Xindi_Council http://dbpedia.org/resource/List_of_Xindi http://dbpedia.org/resource/Xindi_Council_(Star_Trek) http://dbpedia.org/resource/Xindi_Civil_War http://dbpedia.org/resource/Xindus http://dbpedia.org/resource/Xindi_(Star_Trek) http://dbpedia.org/resource/Xindi-Arboreals http://dbpedia.org/resource/Xindi_starships http://dbpedia.org/resource/Xindi-Avians http://dbpedia.org/resource/Kiaphet_Amman'sor"
"0","73","Klingon chancellor and supreme commander who oversaw Worf's discommendation. Later poisoned by Duras and succeeded by Gowron. In his time, K'mpec served as leader of the Klingon Empire longer than anyone previously.","http://dbpedia.org/resource/Holy_Roman_Empire","http://dbpedia.org/resource/Clingon http://dbpedia.org/resource/TlhIngan http://dbpedia.org/resource/ChonnaQ http://dbpedia.org/resource/Qo'nos http://dbpedia.org/resource/Klingon_Empire http://dbpedia.org/resource/Krelk http://dbpedia.org/resource/Kligon http://dbpedia.org/resource/Klingon_empire http://dbpedia.org/resource/Klinon http://dbpedia.org/resource/Klingon http://dbpedia.org/resource/Klingon_homeworld http://dbpedia.org/resource/Qo'noS_(Star_Trek) http://dbpedia.org/resource/Qo'noS http://dbpedia.org/resource/MoQ'bara http://dbpedia.org/resource/Star_Trek/Klingon http://dbpedia.org/resource/Kelicam http://dbpedia.org/resource/QonoS http://dbpedia.org/resource/Klingons http://dbpedia.org/resource/Klinzhai"
"0","77","Klingon commander of a K't'inga-class battle cruiser that was patrolling the area of the Romulan Neutral Zone in 2364, seeking the whereabouts of the IKS T'Acog. When he learned that the criminals Korris, Konmel, and Kunivas had been rescued by the Enterprise-D, he plotted an intercept course and demanded that Captain Jean-Luc Picard turn them over when he arrived. By that time, however, all three Klingons had died from injuries or during escape attempts. (Script Note: Picard mistakenly called K'near \captain\"" in one instance.)[5]""","http://dbpedia.org/resource/Professional_wrestling_match_types","http://dbpedia.org/resource/Clingon http://dbpedia.org/resource/TlhIngan http://dbpedia.org/resource/ChonnaQ http://dbpedia.org/resource/Qo'nos http://dbpedia.org/resource/Klingon_Empire http://dbpedia.org/resource/Krelk http://dbpedia.org/resource/Kligon http://dbpedia.org/resource/Klingon_empire http://dbpedia.org/resource/Klinon http://dbpedia.org/resource/Klingon http://dbpedia.org/resource/Klingon_homeworld http://dbpedia.org/resource/Qo'noS_(Star_Trek) http://dbpedia.org/resource/Qo'noS http://dbpedia.org/resource/MoQ'bara http://dbpedia.org/resource/Star_Trek/Klingon http://dbpedia.org/resource/Kelicam http://dbpedia.org/resource/QonoS http://dbpedia.org/resource/Klingons http://dbpedia.org/resource/Klinzhai"
"0","89","Zakdorn master strategist and consultant for war games between the Enterprise-D and the USS Hathaway.","http://dbpedia.org/resource/List_of_Simple_series_video_games","http://dbpedia.org/resource/Zakdorn http://dbpedia.org/resource/List_of_fictional_alien_species:_Z"
"0","115","Romulan chairman of the Tal Shiar in 2375. He had not been elevated to the Continuing Committee of the Romulan People, which is normally accorded to a person in his position, because of his opposition to the Romulan alliance with the Federation, which was supported by a majority on the committee. He was rumored to be ill with Tuvan syndrome, which may have been another reason why he had not been elevated to the Continuing Committee. Secretly, Koval had been providing critical military intelligence to the Federation for more than a year. He was Vice Admiral William J. Ross's guarantee that the Romulans would not make a deal with the Dominion.","http://dbpedia.org/resource/Professional_wrestling_match_types","http://dbpedia.org/resource/Romulan_starship http://dbpedia.org/resource/Romulan_starships http://dbpedia.org/resource/Romulan_Home_Worlds http://dbpedia.org/resource/Valdore_class_starship http://dbpedia.org/resource/Romulans http://dbpedia.org/resource/D'deridex-class_warbird http://dbpedia.org/resource/Romulan_War http://dbpedia.org/resource/Romulan_Warbird http://dbpedia.org/resource/Debrune http://dbpedia.org/resource/D'deridex_class_starship http://dbpedia.org/resource/Star_Trek/Romulan http://dbpedia.org/resource/Romulus_(Star_Trek) http://dbpedia.org/resource/Romulan_(Star_Trek) http://dbpedia.org/resource/D'deridex http://dbpedia.org/resource/Bird-of-Prey_class_starship http://dbpedia.org/resource/D7_class_starship http://dbpedia.org/resource/Romulans_(Star_Trek) http://dbpedia.org/resource/Earth-Romulan_War http://dbpedia.org/resource/Romulan_Star_Empire_(Star_Fleet_Universe) http://dbpedia.org/resource/Romulus_and_Remus_(Star_Trek) http://dbpedia.org/resource/Romulan_shuttle http://dbpedia.org/resource/Romulan http://dbpedia.org/resource/Romulan_ale http://dbpedia.org/resource/Remus_(Star_Trek) http://dbpedia.org/resource/D'deridex_class_warbird http://dbpedia.org/resource/Tal_Shiar http://dbpedia.org/resource/B-type_warbird http://dbpedia.org/resource/Romulan_Empire http://dbpedia.org/resource/Norexan-class_warbird http://dbpedia.org/resource/Romulan_Star_Empire"
"0","128","Kurn","http://dbpedia.org/resource/Cereal","http://dbpedia.org/resource/Lwaxana_Troi http://dbpedia.org/resource/Lwaxana_Troi,_Daughter_of_the_Fifth_House,_Holder_of_the_Sacred_Chalice_of_Rixx,_Heir_to_the_Holy_Rings_of_Betazed http://dbpedia.org/resource/Lore_(Star_Trek) http://dbpedia.org/resource/B'Etor http://dbpedia.org/resource/Sacred_Chalice_of_Rixx http://dbpedia.org/resource/Alyssa_Ogawa http://dbpedia.org/resource/Lursa http://dbpedia.org/resource/Kurn http://dbpedia.org/resource/Nurse_Ogawa http://dbpedia.org/resource/Guinan_(Star_Trek_character) http://dbpedia.org/resource/Jack_Crusher http://dbpedia.org/resource/Alexander_roshenko http://dbpedia.org/resource/List_of_minor_recurring_characters_in_Star_Trek:_The_Next_Generation http://dbpedia.org/resource/Alexander_Rozhenko http://dbpedia.org/resource/Guynan http://dbpedia.org/resource/Lursa_and_B'Etor http://dbpedia.org/resource/Duras_sisters http://dbpedia.org/resource/Alexander_Roshenko http://dbpedia.org/resource/Mister_Homn http://dbpedia.org/resource/Rodek http://dbpedia.org/resource/K'mtar http://dbpedia.org/resource/List_of_Star_Trek:_The_Next_Generation_characters http://dbpedia.org/resource/Nurse_Alyssa_Ogawa http://dbpedia.org/resource/Mr._Homn http://dbpedia.org/resource/Guinan_(Star_Trek) http://dbpedia.org/resource/Homn"
"0","135","Vulcan minister on the Vulcan High Command in 2154. He opposed the radicalism of Administrator V'Las and eventually shot (stunned) him to stop a space battle between the Vulcan and Andorian militaries.","http://dbpedia.org/resource/Allies_of_World_War_II","http://dbpedia.org/resource/Vulcans_(Star_Trek) http://dbpedia.org/resource/Vulcans_(Star_Trek_race) http://dbpedia.org/resource/Cthia http://dbpedia.org/resource/Vulcan_(language) http://dbpedia.org/resource/Vulcan_lyre http://dbpedia.org/resource/Mind-Meld http://dbpedia.org/resource/IDIC http://dbpedia.org/resource/Vulcan_mind_meld http://dbpedia.org/resource/Katra_(Star_Trek) http://dbpedia.org/resource/Vulcan_IDIC http://dbpedia.org/resource/Vulcan_High_Command http://dbpedia.org/resource/Shi'Kahr http://dbpedia.org/resource/Vulcan_language http://dbpedia.org/resource/T'plana'hath http://dbpedia.org/resource/Vulcanians http://dbpedia.org/resource/Koon-ut-kalifee http://dbpedia.org/resource/Star_Trek/Vulcan http://dbpedia.org/resource/Vulcan_(Star_Trek_planet) http://dbpedia.org/resource/Vulcan_starships http://dbpedia.org/resource/T'Kuht http://dbpedia.org/resource/Kolinahr http://dbpedia.org/resource/Vulcan_(species) http://dbpedia.org/resource/Syrrannites http://dbpedia.org/resource/Mindmelds http://dbpedia.org/resource/Vulcan_Idic http://dbpedia.org/resource/T'plana-hath http://dbpedia.org/resource/Mind-melds http://dbpedia.org/resource/Mind-Melds http://dbpedia.org/resource/Mind-meld http://dbpedia.org/resource/Vulcan_(Star_Trek) http://dbpedia.org/resource/Mind_meld http://dbpedia.org/resource/ShiKahr http://dbpedia.org/resource/Kaltoh http://dbpedia.org/resource/Vulcan_Lyre http://dbpedia.org/resource/Syrranites http://dbpedia.org/resource/Vulcans http://dbpedia.org/resource/D'Kyr http://dbpedia.org/resource/D'Kyr_type_(Star_Trek) http://dbpedia.org/resource/Infinite_Diversity_in_Infinite_Combinations"
