2006_V8_Supercar_Championship_Series#0_2,2,1,Adelaide Street Circuit,"http://dbpedia.org/resource/Rundle_Street,_Adelaide"
2006_V8_Supercar_Championship_Series#0_2,2,2,Pukekohe Park Raceway,http://dbpedia.org/resource/Sandown_Raceway
2006_V8_Supercar_Championship_Series#0_2,2,3,Barbagallo Raceway,http://dbpedia.org/resource/93061_Barbagallo
2006_V8_Supercar_Championship_Series#0_2,2,4,Winton Motor Raceway,http://dbpedia.org/resource/Winton_Motor_Carriage_Company
2006_V8_Supercar_Championship_Series#0_2,2,5,Hidden Valley Raceway,"http://dbpedia.org/resource/Hidden_Valley_Lake,_California"
2006_V8_Supercar_Championship_Series#0_2,2,6,Queensland Raceway,http://dbpedia.org/resource/Anderstorp_Raceway
2006_V8_Supercar_Championship_Series#0_2,2,7,Oran Park Raceway,http://dbpedia.org/resource/Hazel_Park_Raceway
2006_V8_Supercar_Championship_Series#0_2,2,8,Sandown Raceway,"http://dbpedia.org/resource/Sandown_Park_railway_station,_Melbourne"
2006_V8_Supercar_Championship_Series#0_2,2,9,Mount Panorama,http://dbpedia.org/resource/Panorama_(The_Cars_album)
2006_V8_Supercar_Championship_Series#0_2,2,10,Surfers Paradise Street Circuit,http://dbpedia.org/resource/Gold_Coast_Indy_300
2006_V8_Supercar_Championship_Series#0_2,2,11,Symmons Plains Raceway,http://dbpedia.org/resource/2007_Falken_Tasmania_Challenge
2006_V8_Supercar_Championship_Series#0_2,2,12,Bahrain International Circuit,http://dbpedia.org/resource/Bahrain_International_Airport
2006_V8_Supercar_Championship_Series#0_2,2,13,Phillip Island,http://dbpedia.org/resource/Phillip_Phillips
